,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10594,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19560512.0,19560512.0,False,,1,,,,2023-12-04T04:30:00.000Z,40705.13150853313,19588458476.771378,22.7877,-0.41613057,3.28323883,9.11162407,17.26001706,47.09562797,58.51640421,796213213334.2404,52.3374,854807761679.2,,2023-12-04T04:30:00.000Z,,,,,,2023-12-03 23:30:50.549730
1,1027,Ethereum,ETH,ethereum,7950,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120233028.20888889,120233028.20888889,True,,2,,,,2023-12-04T04:30:00.000Z,2218.2255879071777,9087397100.099998,-6.2037,-0.03831466,2.68949577,8.42370131,20.95696551,34.98893281,36.9795149,266703979684.52283,17.5312,266703979684.52,,2023-12-04T04:30:00.000Z,,,,,,2023-12-03 23:30:50.549730
2,825,Tether USDt,USDT,tether,67233,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,89647599294.14194,92609951832.03839,True,,3,,,,2023-12-04T04:29:00.000Z,1.000269712475806,36442012093.15923,11.9672,-0.00031848,-0.00883885,0.00049575,-0.01147368,0.01809759,0.06970902,89671778370.09763,5.8943,92634929891.43,,2023-12-04T04:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-12-03 23:30:50.549730
3,1839,BNB,BNB,bnb,1810,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151698245.3893142,151698245.3893142,False,,4,,,,2023-12-04T04:29:00.000Z,228.48361126773722,710184470.6376928,7.0328,-0.53941555,-0.00021206,-0.18786166,-1.13387507,7.32659635,6.60829602,34660562929.52988,2.2783,34660562929.53,,2023-12-04T04:29:00.000Z,,,,,,2023-12-03 23:30:50.549730
4,52,XRP,XRP,xrp,1162,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53888571585.0,99988188647.0,False,,5,,,,2023-12-04T04:30:00.000Z,0.6288895831172949,1113341609.2026334,57.0428,-0.30119093,1.58137256,3.11163844,2.78427477,18.78424091,24.25564794,33889961318.877155,2.2277,62888958311.73,,2023-12-04T04:30:00.000Z,,,,,,2023-12-03 23:30:50.549730
5,5426,Solana,SOL,solana,557,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,424332798.80902916,564017187.0979419,True,,6,,,,2023-12-04T04:30:00.000Z,64.67969326126914,1304814708.25558,-18.2837,0.17811701,0.74320984,13.88098155,55.71429103,177.40610699,236.03563691,27445715267.663837,1.8041,36480458655.58,,2023-12-04T04:30:00.000Z,,,,,,2023-12-03 23:30:50.549730
6,3408,USDC,USDC,usd-coin,15251,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24509870702.469257,24509870702.469257,False,,7,,,,2023-12-04T04:29:00.000Z,0.9999157708235897,3987962329.2246985,6.208,0.00589256,0.00876252,0.00781115,-0.01502601,-0.00646989,-0.01506218,24507806256.246067,1.6108,24507806256.25,,2023-12-04T04:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-12-03 23:30:50.549730
7,2010,Cardano,ADA,cardano,989,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35308839254.778,36410042820.425,False,,8,,,,2023-12-04T04:29:00.000Z,0.4064722791572007,333886017.6042655,13.7775,0.26388212,2.27172363,5.70156675,24.57392174,57.45467974,58.66025987,14352064366.28485,0.9434,18291252562.07,,2023-12-04T04:29:00.000Z,,,,,,2023-12-03 23:30:50.549730
8,74,Dogecoin,DOGE,dogecoin,836,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142090746383.70526,142090746383.70526,True,,9,,,,2023-12-04T04:30:00.000Z,0.08774107530329586,595147451.3119124,16.4098,1.22349576,2.13154394,11.86919077,27.68858327,43.47697489,38.54224475,12467194878.354198,0.8194,12467194878.35,,2023-12-04T04:30:00.000Z,,,,,,2023-12-03 23:30:50.549730
9,1958,TRON,TRX,tron,882,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88518370039.52167,88518383403.19551,True,,10,71659659264.0,7426731593.4904175,,2023-12-04T04:29:00.000Z,0.10363894651144985,213337021.2420087,12.3704,0.03560912,0.16527893,-2.85130282,6.48115038,16.00941676,34.15228888,9173950617.806711,0.603,9173952002.8,,2023-12-04T04:29:00.000Z,,,,,,2023-12-03 23:30:50.549730
